class,feature,original_abs_mean,no_number_abs_mean,abs_mean_delta,original_rank,no_number_rank
Recon,ece,0.0053213356204759,0.0066971117039535,0.0013757760834776003,30,29
Recon,llc,0.0053063627852363,0.0043539944841627,-0.0009523683010735995,31,33
Recon,ipv,0.0045121381494183,0.0040996691976293,-0.0004124689517890001,32,34
Recon,arp,0.0030711105905998,0.0031787043907769,0.00010759380017709994,33,36
Recon,dhcp,0.0030601430394686,0.0032758968854142,0.00021575384594559998,34,35
Recon,igmp,0.0028244309689871,0.0025692047200052,-0.0002552262489819001,35,37
Recon,smtp,0.0027757860622417,0.0078506355430375,0.0050748494807958,36,25
Recon,irc,0.0024625832492774,0.0074877785476924,0.005025195298415,37,26
Recon,icmp,0.0022783121350688,0.0025604587395744,0.0002821466045055997,38,38
Recon,ssh,0.0022693568566301,0.0128797657247728,0.0106104088681427,39,22
Spoofing,max,0.1384611504092761,0.2435988418584071,0.10513769144913102,1,1
Spoofing,ack_cnt,0.1031541891377611,0.0429601058245327,-0.060194083313228404,3,6
Spoofing,https,0.0640316444175692,0.0339512377328371,-0.0300804066847321,4,8
Spoofing,avg,0.0482139925740887,0.0424732356395288,-0.005740756934559894,5,7
Spoofing,ttl,0.0466069531792289,0.14410119585334,0.0974942426741111,6,2
Spoofing,min,0.0463503934495852,0.1255979309396475,0.0792475374900623,7,3
Spoofing,dns,0.0351564934849405,0.0143995835111424,-0.0207569099737981,8,14
Spoofing,tot_size,0.0347061279225181,0.0249128311725671,-0.009793296749951,9,9
Spoofing,proto_num,0.0327273202140375,0.0534764308327088,0.020749110618671303,10,4
Spoofing,psh,0.0297986410648997,0.051826429915336,0.0220277888504363,11,5
Spoofing,ack,0.0276785781631945,0.0161858885642191,-0.011492689598975397,12,13
Spoofing,iat,0.0275606087611302,0.0140989868486904,-0.0134616219124398,13,15
Spoofing,var,0.0273102119626408,0.0093963425034938,-0.017913869459147,14,18
Spoofing,rate,0.0272486165589978,0.0197054223616718,-0.007543194197325999,15,11
Spoofing,std,0.0237027600933411,0.0132457967053808,-0.010456963387960299,16,16
Spoofing,header_len,0.0221196058913857,0.020423698822067,-0.0016959070693187,17,10
Spoofing,tot_sum,0.0160800978088336,0.018873446625278,0.0027933488164444027,18,12
Spoofing,syn_cnt,0.0085134439017647,0.009010102329644,0.0004966584278793002,19,19
Spoofing,udp,0.007593501316476,0.005808837256406,-0.0017846640600700002,20,23
Spoofing,rst,0.0073802674554406,0.0051851313968848,-0.0021951360585558003,21,24
Spoofing,tcp,0.0073666840507991,0.0068520908718003,-0.0005145931789988,22,22
Spoofing,rst_cnt,0.0066312206852166,0.0085588393149247,0.0019276186297080998,23,20
Spoofing,ece,0.006164388984011,0.0048111494908966,-0.0013532394931144,24,26
Spoofing,http,0.0060568879329382,0.0131174049965059,0.007060517063567699,25,17
Spoofing,telnet,0.0060167477046299,0.0034434594570732,-0.0025732882475567,26,35
Spoofing,fin,0.0059997294857936,0.0084562261222467,0.0024564966364530993,27,21
Spoofing,syn,0.005823613791293,0.0051580051204449,-0.0006656086708481,28,25
Spoofing,fin_cnt,0.0053779763313608,0.0040379812313611,-0.0013399950999997004,29,30
Spoofing,llc,0.0051119058545119,0.0024779693867744,-0.0026339364677375006,30,37
Spoofing,cwr,0.0050819482002676,0.0033684827324015,-0.0017134654678660995,31,36
Spoofing,ipv,0.0048449786020016,0.0044611267744839,-0.00038385182751770035,32,28
Spoofing,smtp,0.0042057073796336,0.002409736763789,-0.0017959706158446002,33,38
Spoofing,ssh,0.0041499275848738,0.0038971489552373,-0.0002527786296365,34,31
Spoofing,dhcp,0.0035225334152093,0.003776639127603,0.0002541057123936997,35,32
Spoofing,arp,0.0031030192876558,0.0040755368381536,0.0009725175504977997,36,29
